db_id,uniprot_accession,uniprot_id
DB00483,Q15822,ACHA2_HUMAN
DB00483,P08172,ACM2_HUMAN
DB00483,P22303,ACES_HUMAN
DB00484,P08913,ADA2A_HUMAN
DB00484,P18089,ADA2B_HUMAN
DB00484,P18825,ADA2C_HUMAN
DB00486,P34972,CNR2_HUMAN
DB00486,P21554,CNR1_HUMAN
DB00487,P02788,TRFL_HUMAN
DB00487,P11388,TOP2A_HUMAN
DB00489,Q12809,KCNH2_HUMAN
DB00490,P08908,5HT1A_HUMAN
DB00490,P14416,DRD2_HUMAN
DB00491,O43451,MGA_HUMAN
DB00492,P22966,ACET_HUMAN
DB00492,P12821,ACE_HUMAN
DB00494,P21964,COMT_HUMAN
DB00496,P20309,ACM3_HUMAN
DB00497,P35372,OPRM_HUMAN
DB00497,P41145,OPRK_HUMAN
DB00497,P41143,OPRD_HUMAN
DB00499,P10275,ANDR_HUMAN
DB00500,P23219,PGH1_HUMAN
DB00500,P35354,PGH2_HUMAN
DB00501,P25021,HRH2_HUMAN
DB00501,O95742,O95742_HUMAN
DB00502,P14416,DRD2_HUMAN
DB00502,Q13224,NMDE2_HUMAN
DB00502,P21728,DRD1_HUMAN
DB00504,P35372,OPRM_HUMAN
DB00504,Q15822,ACHA2_HUMAN
DB00505,P11229,ACM1_HUMAN
DB00505,P08172,ACM2_HUMAN
DB00505,P20309,ACM3_HUMAN
DB00506,P06401,PRGR_HUMAN
DB00506,P03372,ESR1_HUMAN
DB00506,P35348,ADA1A_HUMAN
DB00508,P21728,DRD1_HUMAN
DB00508,P14416,DRD2_HUMAN
DB00508,P11229,ACM1_HUMAN
DB00508,P08172,ACM2_HUMAN
DB00508,P41595,5HT2B_HUMAN
DB00510,P80404,GABT_HUMAN
DB00511,P05023,AT1A1_HUMAN
DB00513,P00747,PLMN_HUMAN
DB00513,P00750,TPA_HUMAN
DB00513,P08519,APOA_HUMAN
DB00514,Q99720,Q99720_HUMAN
DB00514,Q5T1J1,Q5T1J1_HUMAN
DB00514,Q15822,ACHA2_HUMAN
DB00514,P31645,SC6A4_HUMAN
DB00514,Q8TCU5,NMD3A_HUMAN
DB00517,P11229,ACM1_HUMAN
DB00517,P08172,ACM2_HUMAN
DB00517,P20309,ACM3_HUMAN
DB00519,P22966,ACET_HUMAN
DB00519,P12821,ACE_HUMAN
DB00521,P07550,ADRB2_HUMAN
DB00521,P08588,ADRB1_HUMAN
DB00522,P16233,LIPP_HUMAN
DB00523,P10276,RARA_HUMAN
DB00523,P22932,RARG2_HUMAN
DB00523,P28702,RXRB_HUMAN
DB00523,P13631,RARG1_HUMAN
DB00523,P10826,RARB_HUMAN
DB00523,P48443,RXRG_HUMAN
DB00523,P19793,RXRA_HUMAN
DB00523,P29373,RABP2_HUMAN
DB00523,P29762,RABP1_HUMAN
DB00524,Q13621,S12A1_HUMAN
DB00524,P55017,S12A3_HUMAN
DB00527,Q14524,SCN5A_HUMAN
DB00527,Q9Y5Y9,SC10A_HUMAN
DB00527,P62158,CALM_HUMAN
DB00528,Q06432,CCG1_HUMAN
DB00530,P00533,EGFR_HUMAN
DB00532,Q14524,SCN5A_HUMAN
DB00532,P02768,ALBU_HUMAN
DB00533,P35354,PGH2_HUMAN
DB00533,P15502,ELN_HUMAN
DB00533,P23219,PGH1_HUMAN
DB00534,P51649,SSDH_HUMAN
DB00534,Q13621,S12A1_HUMAN
DB00535,P05164,PERM_HUMAN
DB00536,P05091,ALDH2_HUMAN
DB00537,P02768,ALBU_HUMAN
DB00537,P11388,TOP2A_HUMAN
DB00539,P03372,ESR1_HUMAN
DB00540,P31645,SC6A4_HUMAN
DB00540,P23975,SC6A2_HUMAN
DB00540,P02768,ALBU_HUMAN
DB00541,P07437,TBB2_HUMAN
DB00542,P22966,ACET_HUMAN
DB00542,P12821,ACE_HUMAN
DB00543,P31645,SC6A4_HUMAN
DB00543,P23975,SC6A2_HUMAN
DB00544,P04818,TYSY_HUMAN
DB00545,P22303,ACES_HUMAN
DB00547,P04083,ANXA1_HUMAN
DB00548,P14679,TYRO_HUMAN
DB00549,Q9Y271,CLTR1_HUMAN
DB00550,P07202,PERT_HUMAN
DB00551,P39900,MMP12_HUMAN
DB00552,P00813,ADA_HUMAN
DB00553,P11509,CP2A6_HUMAN
DB00554,P23219,PGH1_HUMAN
DB00555,Q14524,SCN5A_HUMAN
DB00555,P35498,SCN1A_HUMAN
DB00555,Q99250,SCN2A_HUMAN
DB00555,Q9NY46,SCN3A_HUMAN
DB00555,P35499,SCN4A_HUMAN
DB00555,Q9UQD0,SCN8A_HUMAN
DB00555,Q15858,SCN9A_HUMAN
DB00555,P00374,DYR_HUMAN
DB00557,P35367,HRH1_HUMAN
DB00559,P24530,EDNRB_HUMAN
DB00559,P25101,EDNRA_HUMAN
DB00559,O95342,ABCBB_HUMAN
DB00562,P55017,S12A3_HUMAN
DB00562,P00915,CAH1_HUMAN
DB00562,P00918,CAH2_HUMAN
DB00562,P22748,CAH4_HUMAN
DB00562,Q12791,KCMA1_HUMAN
DB00563,P00374,DYR_HUMAN
DB00563,P02768,ALBU_HUMAN
DB00564,Q14524,SCN5A_HUMAN
DB00565,Q15822,ACHA2_HUMAN
DB00568,P35367,HRH1_HUMAN
DB00568,O00555,CAC1A_HUMAN
DB00568,P14416,DRD2_HUMAN
DB00569,P01008,ANT3_HUMAN
DB00570,P07437,TBB2_HUMAN
DB00570,P05412,JUN_HUMAN
DB00570,P08183,MDR1_HUMAN
DB00571,P08588,ADRB1_HUMAN
DB00571,P07550,ADRB2_HUMAN
DB00571,P13945,ADRB3_HUMAN
DB00571,P08908,5HT1A_HUMAN
DB00571,P28222,5HT1B_HUMAN
DB00572,P08172,ACM2_HUMAN
DB00572,P11229,ACM1_HUMAN
DB00572,P08173,ACM4_HUMAN
DB00572,P08912,ACM5_HUMAN
DB00572,P20309,ACM3_HUMAN
DB00572,P22303,ACES_HUMAN
DB00573,P23219,PGH1_HUMAN
DB00573,P35354,PGH2_HUMAN
DB00574,P28335,5HT2C_HUMAN
DB00574,P41595,5HT2B_HUMAN
DB00575,P08913,ADA2A_HUMAN
DB00575,P21452,NK2R_HUMAN
DB00576,P02768,ALBU_HUMAN
DB00579,P23975,SC6A2_HUMAN
DB00579,Q01959,SC6A3_HUMAN
DB00580,P35354,PGH2_HUMAN
DB00583,P50416,CPT1A_HUMAN
DB00583,Q9H015,S22A4_HUMAN
DB00583,O76082,S22A5_HUMAN
DB00583,P43155,CACP_HUMAN
DB00583,Q8N8R3,MCATL_HUMAN
DB00583,O43772,MCAT_HUMAN
DB00583,Q9UKG9,OCTC_HUMAN
DB00583,P23786,CPT2_HUMAN
DB00584,P22966,ACET_HUMAN
DB00584,P12821,ACE_HUMAN
DB00585,P25021,HRH2_HUMAN
DB00586,P23219,PGH1_HUMAN
DB00586,P35354,PGH2_HUMAN
DB00586,P02766,TTHY_HUMAN
DB00587,Q9Y271,CLTR1_HUMAN
DB00588,P08185,CBG_HUMAN
DB00588,P47712,PA24A_HUMAN
DB00588,P04150,GCR_HUMAN
DB00589,P21728,DRD1_HUMAN
DB00589,P08908,5HT1A_HUMAN
DB00589,P14416,DRD2_HUMAN
DB00590,P35348,ADA1A_HUMAN
DB00590,P35368,ADA1B_HUMAN
DB00590,P25100,ADA1D_HUMAN
DB00591,P08185,CBG_HUMAN
DB00591,P47712,PA24A_HUMAN
DB00593,O43497,CAC1G_HUMAN
DB00594,P51168,SCNNB_HUMAN
DB00594,P78348,ACCN2_HUMAN
DB00594,P19801,ABP1_HUMAN
DB00594,P37088,SCNNA_HUMAN
DB00594,P51170,SCNNG_HUMAN
DB00594,P19634,SL9A1_HUMAN
DB00594,Q16515,ACCN1_HUMAN
DB00594,P51172,SCNND_HUMAN
DB00594,P00749,UROK_HUMAN
DB00596,P04083,ANXA1_HUMAN
DB00596,P08185,CBG_HUMAN
DB00598,P35348,ADA1A_HUMAN
DB00598,P35368,ADA1B_HUMAN
DB00598,P08588,ADRB1_HUMAN
DB00598,P07550,ADRB2_HUMAN
DB00599,P14867,GBRA1_HUMAN
DB00599,O00519,FAAH_HUMAN
DB00603,P06401,PRGR_HUMAN
DB00603,P03372,ESR1_HUMAN
DB00604,Q13639,5HT4R_HUMAN
DB00604,P46098,5HT3R_HUMAN
DB00604,Q12809,KCNH2_HUMAN
DB00604,P28223,5HT2A_HUMAN
DB00605,P35354,PGH2_HUMAN
DB00605,P01112,RASH_HUMAN
DB00605,P01133,EGF_HUMAN
DB00605,P02768,ALBU_HUMAN
DB00605,P08253,MMP2_HUMAN
DB00605,P15121,ALDR_HUMAN
DB00605,P23219,PGH1_HUMAN
DB00605,P27361,MK03_HUMAN
DB00605,Q03181,PPARD_HUMAN
DB00605,O00408,PDE2A_HUMAN
DB00606,P54710,ATNG_HUMAN
DB00606,P00915,CAH1_HUMAN
DB00606,P00918,CAH2_HUMAN
DB00606,P22748,CAH4_HUMAN
DB00606,Q12791,KCMA1_HUMAN
DB00608,P69905,HBA_HUMAN
DB00608,P01375,TNFA_HUMAN
DB00608,Q9NR96,TLR9_HUMAN
DB00608,P09210,GSTA2_HUMAN
DB00610,P35348,ADA1A_HUMAN
DB00611,P41145,OPRK_HUMAN
DB00611,P35372,OPRM_HUMAN
DB00611,P41143,OPRD_HUMAN
DB00612,P08588,ADRB1_HUMAN
DB00612,P07550,ADRB2_HUMAN
DB00613,P69905,HBA_HUMAN
DB00615,P07900,HS90A_HUMAN
DB00615,P14625,ENPL_HUMAN
DB00616,P08473,NEP_HUMAN
DB00617,Q9P0X4,CAC1I_HUMAN
DB00619,P09619,PGFRB_HUMAN
DB00619,P00519,ABL1_HUMAN
DB00619,P10721,KIT_HUMAN
DB00619,P04629,NTRK1_HUMAN
DB00619,P07333,CSF1R_HUMAN
DB00619,P08183,MDR1_HUMAN
DB00619,P16234,PGFRA_HUMAN
DB00619,Q08345,DDR1_HUMAN
DB00619,Q9UNQ0,ABCG2_HUMAN
DB00620,P08185,CBG_HUMAN
DB00620,P04083,ANXA1_HUMAN
DB00621,P10275,ANDR_HUMAN
DB00622,Q13936,CAC1C_HUMAN
DB00622,P08183,MDR1_HUMAN
DB00622,Q9UNQ0,ABCG2_HUMAN
DB00623,P14416,DRD2_HUMAN
DB00623,P62158,CALM_HUMAN
DB00623,P21728,DRD1_HUMAN
DB00624,P10275,ANDR_HUMAN
DB00624,P02768,ALBU_HUMAN
DB00624,P16860,ANFB_HUMAN
DB00626,P01023,A2MG_HUMAN
DB00626,P14735,IDE_HUMAN
DB00627,Q8TDS4,G109A_HUMAN
DB00627,P40261,NNMT_HUMAN
DB00627,Q15274,NADC_HUMAN
DB00627,P49019,G109B_HUMAN
DB00628,P14867,GBRA1_HUMAN
DB00629,P08913,ADA2A_HUMAN
DB00630,P29074,PTN4_HUMAN
DB00631,P09884,DPOLA_HUMAN
DB00631,P23921,RIR1_HUMAN
DB00633,P08913,ADA2A_HUMAN
DB00635,P04150,GCR_HUMAN
DB00635,P04083,ANXA1_HUMAN
DB00636,P06858,LIPL_HUMAN
DB00636,Q07869,PPARA_HUMAN
DB00637,P35367,HRH1_HUMAN
DB00637,P05184,CP3A3_HUMAN
DB00637,Q12809,KCNH2_HUMAN
DB00640,Q08828,ADCY1_HUMAN
DB00640,P01375,TNFA_HUMAN
DB00640,P33765,AA3R_HUMAN
DB00641,P04035,HMDH_HUMAN
DB00641,P00734,THRB_HUMAN
DB00641,P01019,ANGT_HUMAN
DB00641,P01375,TNFA_HUMAN
DB00641,P01579,IFNG_HUMAN
DB00641,P05121,PAI1_HUMAN
DB00641,P05184,CP3A3_HUMAN
DB00641,P05231,IL6_HUMAN
DB00641,P08254,MMP3_HUMAN
DB00641,P10145,IL8_HUMAN
DB00641,P12643,BMP2_HUMAN
DB00641,P13500,CCL2_HUMAN
DB00641,P14780,MMP9_HUMAN
DB00641,P15692,VEGFA_HUMAN
DB00641,P25942,TNR5_HUMAN
DB00641,P27361,MK03_HUMAN
DB00641,P42574,CASP3_HUMAN
DB00641,P61586,RHOA_HUMAN
DB00641,P63000,RAC1_HUMAN
DB00641,Q06643,TNFC_HUMAN
DB00641,Q07869,PPARA_HUMAN
DB00642,P04818,TYSY_HUMAN
DB00642,P00374,DYR_HUMAN
DB00642,O14659,O14659_HUMAN
DB00642,P22102,PUR2_HUMAN
DB00644,P30968,GNRHR_HUMAN
DB00644,Q96P88,GNRR2_HUMAN
DB00645,Q9Y5Y9,SC10A_HUMAN
DB00647,P35372,OPRM_HUMAN
DB00647,P41143,OPRD_HUMAN
DB00647,P41145,OPRK_HUMAN
DB00648,P15538,C11B1_HUMAN
DB00648,P10109,ADX_HUMAN
DB00648,P08185,CBG_HUMAN
DB00650,P04818,TYSY_HUMAN
DB00651,Q07343,PDE4B_HUMAN
DB00651,P27815,PDE4A_HUMAN
DB00651,Q08493,PDE4C_HUMAN
DB00651,Q08499,PDE4D_HUMAN
DB00651,Q13946,PDE7A_HUMAN
DB00651,Q9NP56,PDE7B_HUMAN
DB00652,P35372,OPRM_HUMAN
DB00652,P41145,OPRK_HUMAN
DB00653,Q06432,CCG1_HUMAN
DB00653,Q13936,CAC1C_HUMAN
DB00653,Q02641,CACB1_HUMAN
DB00653,Q08289,CACB2_HUMAN
DB00653,Q13698,CAC1S_HUMAN
DB00654,P43088,PF2R_HUMAN
DB00655,P03372,ESR1_HUMAN
DB00655,P02768,ALBU_HUMAN
DB00655,P08842,STS_HUMAN
DB00655,Q16678,CP1B1_HUMAN
